record_type,source_file,source_sr_no,state,constituency,mp_name,ida,work_id,work_category,work_type,work_description,recommended_date,sanction_date,completion_date,expenditure_date,consent_date,recommended_amount,sanction_amount,amount_disbursed,fund_disbursed_amount,consent_amount,allocated_amount,work_status,payment_status,vendor_name,calamity_type,calamity_name,image_marker
Works Sanctioned,Works Sanctioned.xlsx,5158,West Bengal,KOLKATA DAKSHIN,Mala Roy,KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA),WS/MP484/2024-2025/145623,Normal/Others,Construction of community centers and community halls,"SUPPLY AND INSTALLATION OF AIR-CONDITION MACHINES AT NEWLY CONSTRUCTED BOROUGH - VII OFFICE CUM COMMUNITY HALL IN WARD 63, BR - VII.",2024-10-05,2024-11-26,,,,,1500000.0,,,,,Physical Inspection,,,,,
Works Sanctioned,Works Sanctioned.xlsx,3880,Tamil Nadu,KANCHEEPURAM(SC),Ganesan Selvam,Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA),WS/MP743/2024-2025/143070,Normal/Others,"Purchase of smart boards, visual display units and projectors",Purchasing of smart class room equipment for Uthukadu VSA Govt.High School in Walajabad Panchayat Union. (Supply of smart class equipment 2 set),2024-09-24,2024-10-20,,,,,400000.0,,,,,Physical Inspection,,,,,
Works Recommended,Works Recommended (1).xlsx,105243,Tamil Nadu,COIMBATORE,GANAPATHY RAJKUMAR P,TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA),,Normal/Others,Purchase of sports equipment,"Supply of Sports Equipments to Government High School, Kodangipalayam, Palladam Block, Tiruppur District.",2026-09-01,,,,,500000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,26827,Madhya Pradesh,BALAGHAT,BHARTI PARDHI,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),WS/MP18098/2025-2026/185499,Normal/Others,Installation of fixed garden gym equipment,"Air swing walker, Leg Press, Surf Board, Rower, Cross Trainer, Seated Puller, Push-Up bar, Parallel Bar, Shoulder Builder, Sit Up Board, Standing and Seating Twister, Chest Puller.for Gram Atri Jp Lalbarra",2025-03-22,2025-04-22,,,,,772290.0,,,,,Physical Inspection,,,,,
Works Sanctioned,Works Sanctioned.xlsx,72222,Odisha,JAJPUR(SC),RABINDRA NARAYAN BEHERA,Jajpur(DISTRICT COLLECTOR JAJPUR_IDA),WS/MP18143/2026-2027/274707,Normal/Others,Construction of community centers and community halls,"Construction Bajarangbali community centre at Maliaghai, Bari Village.",2026-03-19,2026-07-08,,,,,300000.0,,,,,Sanction,,,,,
Works Sanctioned,Works Sanctioned.xlsx,49033,Chandigarh,CHANDIGARH,MANISH TEWARI,CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA),WS/MP18047/2026-2027/227251,Normal/Others,Providing CCTV camera system for security of public areas,"Installation of CCTV cameras on V5 and V6 Roads in Dhanas Rehabilation Colony, Ward No. 15, Chandigarh.",2025-08-15,2026-06-25,,,,,1000000.0,,,,,Vendor Identification,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,75002,Telangana,BHONGIR,CHAMALA KIRAN KUMAR REDDY,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),WS/MP18338/2024-2025/149888,,Street lights,,,,,2025-03-01,,,,,90934.0,,,,Payment Success,DORNALA ANJAIAH,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,36775,Telangana,MAHABUBNAGAR,ARUNA. D. K,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),WS/MP18191/2025-2026/231850,,Lighting of public spaces,,,,,2026-02-13,,,,,249773.0,,,,Payment Success,VIOLET ENTERPRISES,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,14838,Maharashtra,NANDED,Ravindra Vasantrao Chavan,NANDED(DISTRICT COLLECTOR NANDED_IDA),WS/MP18429/2025-2026/223141,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-02-14,,,,,985780.0,,,,Payment Success,Gram Panchayat Dorli tq Bhokar,,,
Works Sanctioned,Works Sanctioned.xlsx,47482,Maharashtra,KOLHAPUR,CHHATRAPATI SHAHU SHAHAJI,KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA),WS/MP18123/2025-2026/224468,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Internal road at Gaibi Galli,2025-08-02,2026-03-17,,,,,999000.0,,,,,Physical Inspection,,,,,
